Picklist_date,picklist_no,picklist_type,stores_in_picklist
2025-12-08,496,bulk,"397205.0,398693.0"
2025-12-08,497,bulk,"400357.0,397205.0"
2025-12-08,498,bulk,"394957.0,401063.0"
2025-12-08,499,bulk,"397205.0,401063.0"
2025-12-08,500,bulk,"395059.0,397205.0"
2025-12-08,501,multi order,"398939.0,394957.0"
2025-12-08,502,bulk,"394957.0,398693.0"
2025-12-08,503,multi order,"398939.0,397205.0"
2025-12-08,504,multi order,"398693.0,400317.0"
2025-12-08,505,bulk,"394957.0,398693.0"
2025-12-08,506,bulk,"395106.0,400356.0"
2025-12-08,507,bulk,"395059.0,397205.0"
2025-12-08,508,multi order,"398693.0,400263.0"
2025-12-08,509,multi order,"400907.0,394957.0"
2025-12-08,510,multi order,"394957.0,401063.0"
2025-12-08,511,bulk,"398939.0,397205.0"
2025-12-08,512,multi order,"400356.0,398693.0"
2025-12-08,513,multi order,"397205.0,398693.0"
2025-12-08,514,bulk,"394957.0,398693.0"
2025-12-08,515,multi order,"398939.0,397205.0"
2025-12-08,516,bulk,"394957.0,400263.0"
2025-12-08,517,bulk,"395106.0,398693.0"
2025-12-08,518,bulk,"398939.0,394957.0"
2025-12-08,519,bulk,"395059.0,401063.0"
2025-12-08,520,multi order,"398939.0,394957.0"
2025-12-08,521,bulk,"394957.0,398693.0"
2025-12-08,522,bulk,"395106.0,400317.0"
2025-12-08,523,multi order,"394957.0,398693.0"
2025-12-08,524,multi order,"398939.0,398693.0"
2025-12-08,525,bulk,"394957.0,400357.0"
2025-12-08,526,multi order,"394957.0,400263.0"
2025-12-08,527,multi order,"400356.0,398693.0"
2025-12-08,528,bulk,"398939.0,401063.0"
2025-12-08,529,multi order,"394957.0,398693.0"
2025-12-08,530,multi order,"395106.0,401063.0"
2025-12-08,531,multi order,"394957.0,398693.0"
2025-12-08,532,multi order,"398939.0,394957.0"
2025-12-08,533,bulk,"394957.0,397205.0"
2025-12-08,534,bulk,"394957.0,400263.0"
2025-12-08,535,multi order,"394957.0,400317.0"
2025-12-08,536,bulk,"395106.0,400356.0"
2025-12-08,537,multi order,"394957.0,398693.0"
2025-12-08,538,multi order,"394957.0,397205.0"
2025-12-08,539,multi order,"395059.0,398693.0"
2025-12-08,540,bulk,"397205.0,400317.0"
2025-12-08,541,bulk,"394957.0,401063.0"
2025-12-08,542,bulk,"400356.0,398693.0"
2025-12-08,543,multi order,"394957.0,398693.0"
2025-12-08,544,multi order,"398939.0,401063.0"
2025-12-08,545,multi order,"398693.0,401063.0"
2025-12-08,546,bulk,"395106.0,395059.0"
2025-12-08,547,bulk,"400356.0,398693.0"
2025-12-08,548,multi order,"394957.0,398693.0"
2025-12-08,549,bulk,"398693.0,401063.0"
2025-12-08,550,bulk,"398693.0,400263.0"
2025-12-08,551,bulk,"395059.0,400356.0"
2025-12-08,552,multi order,"398693.0,400317.0"
2025-12-08,553,multi order,"400907.0,398693.0"
2025-12-08,554,multi order,"397205.0,400263.0"
2025-12-08,555,bulk,"398693.0,401063.0"
